"","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1","Treatment_Compare"
"plut2.m8.21690",15,26,16,3,27,35,36,21,27,13,27,11,"CvsMid"
"plut2.m8.9532",23,15,9,5,26,11,18,12,17,11,19,9,"CvsMid"
"plut2.m8.1221",18,43,15,3,32,18,19,10,12,14,25,14,"CvsMid"
"plut2.m8.31556",16,36,18,0,40,41,29,17,11,15,24,14,"CvsMid"
"plut2.m8.10411",481,199,369,163,242,390,466,384,281,296,540,355,"CvsMid"
"plut2.m8.92",1483,721,594,395,848,711,695,1186,886,662,632,419,"CvsMid"
"plut2.m8.10068",167,29,19,32,22,67,56,89,90,43,11,8,"CvsMid"
"plut2.m8.29685",11,12,12,3,11,21,12,9,6,10,11,8,"CvsMid"
"plut2.m8.29528",10,18,27,2,32,9,25,20,7,21,19,8,"CvsMid"
"plut2.m8.21554",218,83,61,54,155,66,71,120,123,56,97,40,"CvsMid"
"plut2.m8.30338",12,17,8,0,20,14,19,15,7,15,10,8,"CvsMid"
"plut2.m8.33156",25,31,12,3,38,25,26,16,11,14,22,12,"CvsMid"
"plut2.m8.26404",41,47,134,22,19,170,226,11,35,106,104,92,"CvsMid"
"plut2.m8.28828",51,40,33,16,44,32,44,44,23,24,33,16,"CvsMid"
"plut2.m8.7375",247,198,144,92,426,152,180,215,150,121,261,99,"CvsMid"
"plut2.m8.8613",71,22,17,8,101,13,16,44,49,18,72,14,"CvsMid"
"plut2.m8.19607",67,27,23,8,77,36,28,50,30,21,40,11,"CvsMid"
"plut2.m8.20414",179,62,13,21,37,50,45,139,127,22,14,13,"CvsMid"
"plut2.m8.25894",118,145,53,28,125,117,113,87,64,60,103,63,"CvsMid"
"plut2.m8.1212",682,223,85,97,162,170,240,461,413,121,75,53,"CvsMid"
"plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"CvsMid"
"jamg1.TU.Sc0000117.30",261,115,143,68,275,170,150,274,145,148,209,73,"CvsMid"
"plut2.m8.33367",25,22,22,5,55,18,23,10,9,16,42,7,"CvsMid"
"plut2.m8.27437",46,22,19,15,37,26,27,33,15,15,26,17,"CvsMid"
"plut2.m8.33216",429,74,56,113,68,69,105,265,228,80,42,37,"CvsMid"
"plut2.m8.33396",31,54,26,12,37,12,41,9,12,21,27,24,"CvsMid"
"plut2.m8.6795",16,20,17,6,23,13,16,19,14,15,16,6,"CvsMid"
"plut2.m8.18568",50,53,49,25,54,22,49,34,25,36,40,23,"CvsMid"
"jamg1.TU.Sc0000020.96",143,62,24,25,146,63,79,70,63,43,74,46,"CvsMid"
"plut2.m8.32952",527,232,56,71,94,218,145,876,370,246,34,34,"CvsMid"
"plut2.m8.16587",39,22,26,15,70,21,20,39,40,15,43,13,"CvsMid"
"jamg1.TU.xfSc0000469.4",23,11,10,11,60,14,13,29,17,8,68,6,"CvsMid"
"jamg1.TU.Sc0000051.45",604,130,81,141,152,157,182,484,422,98,126,71,"CvsMid"
"plut2.m8.25842",116,14,9,19,14,7,16,70,46,9,8,6,"CvsMid"
"plut2.m8.17513",17,22,11,0,40,11,14,21,6,16,26,13,"CvsMid"
"plut2.m8.4130",26,17,18,5,29,14,12,14,11,15,21,10,"CvsMid"
"jamg1.TU.Sc0000654.3",17,28,9,4,30,12,17,10,12,8,20,10,"CvsMid"
"plut2.m8.25928",429,87,71,159,66,30,70,341,244,43,53,22,"CvsMid"
"plut2.m8.16218",178,29,14,40,41,30,32,111,101,32,22,10,"CvsMid"
"plut2.m8.25740",85,106,146,35,171,316,113,170,43,157,179,49,"CvsMid"
"plut2.m8.21703",44,7,22,12,159,15,10,66,22,17,87,9,"CvsMid"
"plut2.m8.30977",21,23,21,12,52,16,20,22,12,15,36,10,"CvsMid"
"plut2.m8.20146",93,99,66,10,84,132,124,21,57,71,96,73,"CvsMid"
"plut2.m8.9304",66,24,17,7,287,62,40,37,34,19,220,13,"CvsMid"
"plut2.m8.3794",198,269,185,30,405,180,265,127,84,245,270,144,"CvsMid"
"plut2.m8.29610",99,51,39,20,243,49,67,57,35,60,114,29,"CvsMid"
"plut2.m8.1654",204,42,12,28,25,29,29,84,79,36,16,11,"CvsMid"
"plut2.m8.20774",27,21,15,9,38,23,25,25,13,20,22,11,"CvsMid"
"plut2.m8.26060",13,15,7,0,43,30,17,17,10,24,18,14,"CvsMid"
"plut2.m8.19775",202,12,20,43,23,34,33,148,117,21,19,12,"CvsMid"
"plut2.m8.12181",12,16,14,3,19,11,13,10,10,12,15,8,"CvsMid"
"plut2.m8.15977",41,29,15,6,38,18,35,13,22,13,25,14,"CvsMid"
"plut2.m8.28609",272,68,26,55,71,35,54,177,154,49,32,17,"CvsMid"
"jamg1.TU.Sc0000551.3",35,18,20,3,52,20,25,10,8,31,27,13,"CvsMid"
"plut2.m8.26344",71,48,20,10,72,22,39,43,37,22,54,20,"CvsMid"
"plut2.m8.21416",31,27,19,0,34,18,28,24,13,23,30,17,"CvsMid"
"plut2.m8.1010",56,141,78,4,168,143,138,37,33,183,115,57,"CvsMid"
"plut2.m8.22162",1978,4308,5062,699,5596,3863,4926,1468,918,5720,4369,2125,"CvsMid"
"plut2.m8.9356",236,52,22,43,13,41,68,124,116,37,14,16,"CvsMid"
"plut2.m8.2498",16,18,10,5,22,8,14,25,9,12,27,11,"CvsMid"
"plut2.m8.7161",40,16,14,5,35,16,20,20,15,11,21,8,"CvsMid"
"plut2.m8.26038",48,40,29,18,39,23,34,36,21,27,33,19,"CvsMid"
"plut2.m8.7555",182,286,200,47,166,131,277,99,76,155,221,236,"CvsMid"
"plut2.m8.5234",14,13,14,0,10,9,16,8,9,8,17,11,"CvsMid"
"plut2.m8.30462",30,27,24,0,35,10,17,27,14,14,30,11,"CvsMid"
"jamg1.TU.xpSc0007059.15",25,26,14,7,25,13,19,18,13,16,15,11,"CvsMid"
"plut2.m8.5923",179,12,7,66,20,16,10,191,133,10,16,8,"CvsMid"
"plut2.m8.31969",38,76,30,0,106,101,48,34,23,50,35,24,"CvsMid"
"plut2.m8.32471",18,19,11,0,21,12,20,10,10,16,17,10,"CvsMid"
"plut2.m8.27535",19,22,19,3,27,16,23,9,14,16,23,18,"CvsMid"
"plut2.m8.5800",12,45,30,16,36,20,40,32,9,22,30,19,"CvsMid"
"plut2.m8.5801",30,43,25,13,31,20,30,38,24,16,34,18,"CvsMid"
"plut2.m8.6590",103,80,32,19,86,34,54,73,56,39,54,32,"CvsMid"
"plut2.m8.27604",26,23,9,0,59,30,18,20,19,22,27,7,"CvsMid"
"plut2.m8.10671",16,16,13,5,26,21,21,13,8,22,18,9,"CvsMid"
"plut2.m8.16389",692,475,190,41,523,492,383,241,306,251,546,238,"CvsMid"
"jamg1.TU.Sc0000055.95",35,8,10,8,116,6,6,24,17,10,73,5,"CvsMid"
"plut2.m8.10362",466,54,44,144,52,18,37,345,185,12,39,16,"CvsMid"
"plut2.m8.13229",166,120,89,62,320,92,90,152,160,81,260,42,"CvsMid"
"plut2.m8.24994",26,9,10,3,48,11,17,12,14,10,41,6,"CvsMid"
"plut2.m8.21905",161,33,14,35,29,42,39,107,87,20,9,10,"CvsMid"
"plut2.m8.4590",16,71,31,5,69,37,39,8,10,40,35,23,"CvsMid"
"plut2.m8.7220",12,40,20,0,34,43,31,7,6,32,20,20,"CvsMid"
"plut2.m8.11192",277,249,105,36,286,193,241,141,152,158,233,111,"CvsMid"
"plut2.m8.30846",15,27,7,0,25,33,23,16,9,15,14,11,"CvsMid"
"plut2.m8.7539",12,9,17,8,18,22,13,12,1,15,19,9,"CvsMid"
"plut2.m8.20873",35,52,23,7,26,20,37,24,28,15,28,21,"CvsMid"
"jamg1.TU.xfSc0000800.1",29,17,15,8,48,11,13,17,10,10,29,7,"CvsMid"
"plut2.m8.15173",148,110,61,37,100,46,96,143,77,50,95,60,"CvsMid"
"plut2.m8.18281",59,33,26,7,55,27,41,46,35,29,37,17,"CvsMid"
"plut2.m8.18280",31,32,25,5,55,26,39,25,13,28,36,17,"CvsMid"
"plut2.m8.9273",22,23,23,8,30,16,13,23,10,12,19,9,"CvsMid"
"plut2.m8.14149",184,75,21,17,2779,52,94,33,114,19,2691,30,"CvsMid"
"plut2.m8.32388",149,24,8,49,22,22,26,111,98,13,18,10,"CvsMid"
"plut2.m8.4878",32,44,15,0,65,37,36,43,26,24,35,21,"CvsMid"
"plut2.m8.9965",64,53,20,12,76,67,36,50,46,35,52,21,"CvsMid"
"plut2.m8.16250",84,22,34,16,49,30,18,45,46,29,50,20,"CvsMid"
"plut2.m8.24633",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"CvsMid"
"plut2.m8.21745",497,244,66,83,99,316,164,678,566,271,39,47,"CvsMid"
"plut2.m8.22430",55,28,26,21,191,28,22,66,26,22,93,13,"CvsMid"
"plut2.m8.23510",365,273,431,110,541,405,479,528,149,433,410,185,"CvsMid"
"plut2.m8.8087",36,51,19,10,67,78,43,27,29,37,37,26,"CvsMid"
"plut2.m8.12888",25,35,22,6,23,12,23,20,16,18,18,12,"CvsMid"
"plut2.m8.15873",71,38,20,20,91,58,27,54,36,26,92,18,"CvsMid"
"plut2.m8.22577",33,52,34,11,47,24,39,54,23,28,40,22,"CvsMid"
"plut2.m8.21171",84,85,204,31,83,196,258,54,37,150,505,229,"CvsMid"
"plut2.m8.7118",25,41,20,3,40,32,35,23,17,35,20,10,"CvsMid"
"plut2.m8.33379",14,16,19,0,18,7,15,12,7,11,12,7,"CvsMid"
"plut2.m8.22320",195,71,25,25,472,55,67,95,99,36,348,36,"CvsMid"
"plut2.m8.216901",15,26,16,3,27,35,36,21,27,13,27,11,"CvsHigh"
"plut2.m8.12211",18,43,15,3,32,18,19,10,12,14,25,14,"CvsHigh"
"plut2.m8.315561",16,36,18,0,40,41,29,17,11,15,24,14,"CvsHigh"
"plut2.m8.31557",76,36,24,17,48,70,51,30,42,29,39,23,"CvsHigh"
"plut2.m8.921",1483,721,594,395,848,711,695,1186,886,662,632,419,"CvsHigh"
"plut2.m8.22609",814,183,138,296,191,82,168,637,499,120,134,80,"CvsHigh"
"plut2.m8.296851",11,12,12,3,11,21,12,9,6,10,11,8,"CvsHigh"
"plut2.m8.21315",692,175,141,245,156,96,157,593,386,102,143,75,"CvsHigh"
"plut2.m8.295281",10,18,27,2,32,9,25,20,7,21,19,8,"CvsHigh"
"plut2.m8.33612",28,39,15,7,43,23,29,17,30,20,16,12,"CvsHigh"
"plut2.m8.303381",12,17,8,0,20,14,19,15,7,15,10,8,"CvsHigh"
"plut2.m8.331561",25,31,12,3,38,25,26,16,11,14,22,12,"CvsHigh"
"plut2.m8.264041",41,47,134,22,19,170,226,11,35,106,104,92,"CvsHigh"
"plut2.m8.288281",51,40,33,16,44,32,44,44,23,24,33,16,"CvsHigh"
"plut2.m8.73751",247,198,144,92,426,152,180,215,150,121,261,99,"CvsHigh"
"plut2.m8.22300",42,55,13,0,74,61,40,37,27,34,22,12,"CvsHigh"
"plut2.m8.20419",339,149,117,71,176,134,224,241,203,220,197,116,"CvsHigh"
"plut2.m8.258941",118,145,53,28,125,117,113,87,64,60,103,63,"CvsHigh"
"plut2.m8.8790",477,208,78,61,207,279,172,302,157,203,70,58,"CvsHigh"
"plut2.m8.30559",77,63,27,12,47,39,33,46,48,39,29,18,"CvsHigh"
"plut2.m8.333671",25,22,22,5,55,18,23,10,9,16,42,7,"CvsHigh"
"plut2.m8.333961",31,54,26,12,37,12,41,9,12,21,27,24,"CvsHigh"
"plut2.m8.1011",2102,805,611,214,842,803,1147,986,1057,1069,931,521,"CvsHigh"
"jamg1.TU.Sc0000556.6",93,7,29,49,37,13,18,154,64,8,27,7,"CvsHigh"
"plut2.m8.11052",156,20,76,58,30,9,7,77,161,6,28,42,"CvsHigh"
"plut2.m8.11877",35,36,11,8,36,16,19,18,19,23,17,7,"CvsHigh"
"plut2.m8.258421",116,14,9,19,14,7,16,70,46,9,8,6,"CvsHigh"
"plut2.m8.33535",137,74,33,18,79,101,66,85,62,66,36,29,"CvsHigh"
"plut2.m8.175131",17,22,11,0,40,11,14,21,6,16,26,13,"CvsHigh"
"jamg1.TU.Sc0000654.31",17,28,9,4,30,12,17,10,12,8,20,10,"CvsHigh"
"plut2.m8.259281",429,87,71,159,66,30,70,341,244,43,53,22,"CvsHigh"
"plut2.m8.9453",41,79,61,24,71,42,54,83,28,69,34,30,"CvsHigh"
"plut2.m8.257401",85,106,146,35,171,316,113,170,43,157,179,49,"CvsHigh"
"plut2.m8.9923",138,71,27,20,63,43,82,60,58,44,51,31,"CvsHigh"
"plut2.m8.201461",93,99,66,10,84,132,124,21,57,71,96,73,"CvsHigh"
"plut2.m8.37941",198,269,185,30,405,180,265,127,84,245,270,144,"CvsHigh"
"plut2.m8.207741",27,21,15,9,38,23,25,25,13,20,22,11,"CvsHigh"
"plut2.m8.32950",12,29,5,9,14,42,28,12,13,8,6,9,"CvsHigh"
"plut2.m8.260601",13,15,7,0,43,30,17,17,10,24,18,14,"CvsHigh"
"plut2.m8.197751",202,12,20,43,23,34,33,148,117,21,19,12,"CvsHigh"
"plut2.m8.121811",12,16,14,3,19,11,13,10,10,12,15,8,"CvsHigh"
"plut2.m8.159771",41,29,15,6,38,18,35,13,22,13,25,14,"CvsHigh"
"jamg1.TU.xpSc0007188.2",26,99,37,6,11,21,98,15,10,56,3,36,"CvsHigh"
"plut2.m8.22908",578,141,169,196,309,103,126,396,431,77,257,105,"CvsHigh"
"jamg1.TU.Sc0000551.31",35,18,20,3,52,20,25,10,8,31,27,13,"CvsHigh"
"plut2.m8.23195",57,48,22,15,34,37,28,47,22,37,13,18,"CvsHigh"
"plut2.m8.214161",31,27,19,0,34,18,28,24,13,23,30,17,"CvsHigh"
"plut2.m8.10101",56,141,78,4,168,143,138,37,33,183,115,57,"CvsHigh"
"plut2.m8.221621",1978,4308,5062,699,5596,3863,4926,1468,918,5720,4369,2125,"CvsHigh"
"plut2.m8.3398",42,24,10,5,25,81,30,24,6,26,11,10,"CvsHigh"
"plut2.m8.75551",182,286,200,47,166,131,277,99,76,155,221,236,"CvsHigh"
"plut2.m8.31278",49,22,20,3,25,19,41,13,21,44,18,21,"CvsHigh"
"jamg1.TU.xpSc0007059.151",25,26,14,7,25,13,19,18,13,16,15,11,"CvsHigh"
"plut2.m8.23335",390,95,68,113,94,56,79,371,206,59,62,34,"CvsHigh"
"plut2.m8.59231",179,12,7,66,20,16,10,191,133,10,16,8,"CvsHigh"
"plut2.m8.319691",38,76,30,0,106,101,48,34,23,50,35,24,"CvsHigh"
"plut2.m8.24267",62,45,10,5,16,90,51,16,27,14,12,12,"CvsHigh"
"plut2.m8.4150",28,27,9,7,29,18,23,9,20,14,17,9,"CvsHigh"
"plut2.m8.324711",18,19,11,0,21,12,20,10,10,16,17,10,"CvsHigh"
"plut2.m8.275351",19,22,19,3,27,16,23,9,14,16,23,18,"CvsHigh"
"plut2.m8.58001",12,45,30,16,36,20,40,32,9,22,30,19,"CvsHigh"
"plut2.m8.30812",77,58,21,8,53,83,44,47,56,38,23,17,"CvsHigh"
"plut2.m8.106711",16,16,13,5,26,21,21,13,8,22,18,9,"CvsHigh"
"plut2.m8.163891",692,475,190,41,523,492,383,241,306,251,546,238,"CvsHigh"
"plut2.m8.7302",393,83,77,146,218,33,101,393,241,51,112,55,"CvsHigh"
"plut2.m8.103621",466,54,44,144,52,18,37,345,185,12,39,16,"CvsHigh"
"plut2.m8.23282",122,10,18,93,202,13,17,126,84,11,59,16,"CvsHigh"
"plut2.m8.45901",16,71,31,5,69,37,39,8,10,40,35,23,"CvsHigh"
"plut2.m8.72201",12,40,20,0,34,43,31,7,6,32,20,20,"CvsHigh"
"plut2.m8.111921",277,249,105,36,286,193,241,141,152,158,233,111,"CvsHigh"
"plut2.m8.12089",627,138,106,190,147,68,129,548,276,91,123,57,"CvsHigh"
"plut2.m8.308461",15,27,7,0,25,33,23,16,9,15,14,11,"CvsHigh"
"plut2.m8.208731",35,52,23,7,26,20,37,24,28,15,28,21,"CvsHigh"
"plut2.m8.182801",31,32,25,5,55,26,39,25,13,28,36,17,"CvsHigh"
"plut2.m8.323881",149,24,8,49,22,22,26,111,98,13,18,10,"CvsHigh"
"plut2.m8.24126",125,86,34,20,74,86,83,71,77,39,48,41,"CvsHigh"
"plut2.m8.3544",1035,520,242,142,627,644,566,527,690,409,323,206,"CvsHigh"
"plut2.m8.48781",32,44,15,0,65,37,36,43,26,24,35,21,"CvsHigh"
"plut2.m8.99651",64,53,20,12,76,67,36,50,46,35,52,21,"CvsHigh"
"plut2.m8.246331",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"CvsHigh"
"plut2.m8.33084",35,47,31,12,26,49,34,32,11,36,12,18,"CvsHigh"
"plut2.m8.235101",365,273,431,110,541,405,479,528,149,433,410,185,"CvsHigh"
"plut2.m8.21463",19,19,9,4,18,22,19,11,14,9,10,8,"CvsHigh"
"plut2.m8.80871",36,51,19,10,67,78,43,27,29,37,37,26,"CvsHigh"
"plut2.m8.128881",25,35,22,6,23,12,23,20,16,18,18,12,"CvsHigh"
"plut2.m8.225771",33,52,34,11,47,24,39,54,23,28,40,22,"CvsHigh"
"plut2.m8.211711",84,85,204,31,83,196,258,54,37,150,505,229,"CvsHigh"
"plut2.m8.71181",25,41,20,3,40,32,35,23,17,35,20,10,"CvsHigh"
"jamg1.TU.Sc0000101.46",197,103,31,24,79,157,78,153,89,97,63,36,"CvsHigh"
"plut2.m8.33377",16,30,22,16,25,19,35,11,12,17,17,11,"CvsHigh"
"jamg1.TU.Sc0000225.27",1339,519,227,118,635,731,740,697,519,577,431,289,"CvsHigh"
"jamg1.TU.Sc0000225.29",812,308,165,86,330,429,506,451,363,344,275,231,"CvsHigh"
"plut2.m8.100681",167,29,19,32,22,67,56,89,90,43,11,8,"MidvsHigh"
"plut2.m8.13153",794,233,66,46,136,177,374,527,440,214,40,52,"MidvsHigh"
"plut2.m8.55391",69,9,20,17,383,27,20,49,28,24,260,18,"MidvsHigh"
"plut2.m8.27435",1332,489,148,178,280,592,305,721,744,286,100,122,"MidvsHigh"
"plut2.m8.32953",730,515,136,103,156,482,312,1579,633,600,60,87,"MidvsHigh"
"plut2.m8.329521",527,232,56,71,94,218,145,876,370,246,34,34,"MidvsHigh"
"plut2.m8.110521",156,20,76,58,30,9,7,77,161,6,28,42,"MidvsHigh"
"plut2.m8.26944",324,68,82,70,170,55,64,181,206,43,106,35,"MidvsHigh"
"plut2.m8.217031",44,7,22,12,159,15,10,66,22,17,87,9,"MidvsHigh"
"plut2.m8.229081",578,141,169,196,309,103,126,396,431,77,257,105,"MidvsHigh"
"plut2.m8.24269",182,72,16,10,23,195,105,109,78,38,26,19,"MidvsHigh"
"plut2.m8.25307",490,191,80,95,89,202,127,212,235,188,51,52,"MidvsHigh"
"jamg1.TU.Sc0000055.951",35,8,10,8,116,6,6,24,17,10,73,5,"MidvsHigh"
"plut2.m8.12217",293,134,31,43,80,101,85,190,198,110,10,20,"MidvsHigh"
"plut2.m8.232821",122,10,18,93,202,13,17,126,84,11,59,16,"MidvsHigh"
"plut2.m8.141491",184,75,21,17,2779,52,94,33,114,19,2691,30,"MidvsHigh"
"plut2.m8.7016",768,482,106,180,216,299,232,524,498,255,145,108,"MidvsHigh"
"plut2.m8.217451",497,244,66,83,99,316,164,678,566,271,39,47,"MidvsHigh"
